Author_Name,Book_Title,Rank,Rating,Score,Votes
Lois McMaster Bujold,"Komarr (Vorkosigan Saga, #11)",49,"4.30 avg rating — 12,913 ratings","score: 2,579",31 people voted
C.J. Cherryh,"Foreigner (Foreigner, #1)",50,"3.94 avg rating — 7,158 ratings","score: 2,547",30 people voted
Kate Wilhelm,Where Late the Sweet Birds Sang,51,"3.87 avg rating — 8,284 ratings","score: 2,535",30 people voted
Nancy Kress,"Beggars in Spain (Sleepless, #1)",52,"3.94 avg rating — 6,813 ratings","score: 2,526",30 people voted
James Tiptree Jr.,Her Smoke Rose Up Forever,53,"4.21 avg rating — 3,311 ratings","score: 2,524",29 people voted
Tanith Lee,"The Silver Metal Lover (Silver Metal Lover, #1)",54,"4.03 avg rating — 3,384 ratings","score: 2,504",29 people voted
Lois McMaster Bujold,"Cordelia's Honor (Vorkosigan Omnibus, #1)",55,"4.37 avg rating — 11,641 ratings","score: 2,498",31 people voted
C.J. Cherryh,The Pride of Chanur (Chanur #1),56,"3.92 avg rating — 5,913 ratings","score: 2,469",31 people voted
Emily St. John Mandel,Station Eleven,57,"4.03 avg rating — 253,872 ratings","score: 2,450",28 people voted
C.J. Cherryh,"Cyteen (Cyteen, #1-3)",58,"really liked it 4.00 avg rating — 9,285 ratings","score: 2,316",30 people voted
Lois McMaster Bujold,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),59,"4.24 avg rating — 8,713 ratings","score: 2,306",29 people voted
Sheri S. Tepper,"Grass (Arbai, #1)",60,"4.04 avg rating — 9,267 ratings","score: 2,203",27 people voted
K.T. Hanna,"Chameleon (The Domino Project, #1)",61,4.18 avg rating — 191 ratings,"score: 2,199",22 people voted
Sheri S. Tepper,The Gate to Women's Country,62,"4.05 avg rating — 11,542 ratings","score: 2,191",27 people voted
Joanna Russ,The Female Man,63,"3.54 avg rating — 5,351 ratings","score: 2,128",26 people voted
Kage Baker,"In the Garden of Iden (The Company, #1)",64,"3.77 avg rating — 4,995 ratings","score: 2,038",26 people voted
Ceri London,"Rogue Genesis (Shimmer in the Dark, #1)",65,4.44 avg rating — 133 ratings,"score: 2,013",21 people voted
Octavia E. Butler,"Parable of the Talents (Earthseed, #2)",66,"4.24 avg rating — 17,408 ratings","score: 2,006",25 people voted
C.J. Cherryh,The Faded Sun Trilogy (The Faded Sun #1-3),67,"4.12 avg rating — 4,628 ratings","score: 1,931",23 people voted
Lois McMaster Bujold,"Diplomatic Immunity (Vorkosigan Saga, #13)",68,"4.18 avg rating — 12,109 ratings","score: 1,914",26 people voted
Naomi Novik,"His Majesty's Dragon (Temeraire, #1)",69,"4.06 avg rating — 67,100 ratings","score: 1,849",22 people voted
Elizabeth Moon,The Speed of Dark,70,"really liked it 4.00 avg rating — 9,438 ratings","score: 1,819",24 people voted
Marion Zimmer Bradley,Darkover Landfall,71,"3.88 avg rating — 5,952 ratings","score: 1,748",21 people voted
Hayley Stone,"Machinations (Machinations, #1)",72,3.79 avg rating — 248 ratings,"score: 1,698",17 people voted
G.S. Jennsen,"Vertigo (Aurora Rhapsody, #2)",73,"4.22 avg rating — 1,042 ratings","score: 1,684",18 people voted
Lois McMaster Bujold,"CryoBurn (Vorkosigan Saga, #14)",74,"4.06 avg rating — 11,943 ratings","score: 1,683",24 people voted
Octavia E. Butler,"Seed to Harvest (Patternmaster, #1-4)",75,"4.33 avg rating — 3,946 ratings","score: 1,659",20 people voted
Ursula K. Le Guin,The Wind's Twelve Quarters,76,"4.04 avg rating — 4,042 ratings","score: 1,572",19 people voted
Elizabeth Moon,Remnant Population,77,"4.06 avg rating — 3,628 ratings","score: 1,547",20 people voted
Ursula K. Le Guin,The Word for World is Forest,78,"3.95 avg rating — 12,909 ratings","score: 1,510",20 people voted
Ann Aguirre,"Grimspace (Sirantha Jax, #1)",79,"3.73 avg rating — 12,663 ratings","score: 1,497",17 people voted
Nicola Griffith,Ammonite,80,"3.86 avg rating — 3,716 ratings","score: 1,477",20 people voted
Beth Revis,"Across the Universe (Across the Universe, #1)",81,"3.77 avg rating — 107,423 ratings","score: 1,435",16 people voted
C.J. Cherryh,"Inheritor (Foreigner, #3)",82,"4.19 avg rating — 3,610 ratings","score: 1,392",18 people voted
Mya Robarts,The V Girl,83,"4.02 avg rating — 7,843 ratings","score: 1,380",15 people voted
Lauren Oliver,"Delirium (Delirium, #1)",84,"3.98 avg rating — 392,313 ratings","score: 1,366",15 people voted
Vonda N. McIntyre,Dreamsnake,85,"3.86 avg rating — 8,407 ratings","score: 1,324",18 people voted
Pamela Sargent,Women of Wonder: Science-Fiction Stories by Women about Women,86,really liked it 4.00 avg rating — 272 ratings,"score: 1,297",16 people voted
Martha Wells,"All Systems Red (The Murderbot Diaries, #1)",87,"4.15 avg rating — 35,121 ratings","score: 1,296",14 people voted
Elizabeth Moon,"Trading in Danger (Vatta's War, #1)",88,"3.98 avg rating — 11,164 ratings","score: 1,286",16 people voted
C.J. Cherryh,"Invader (Foreigner, #2)",89,"4.17 avg rating — 4,058 ratings","score: 1,276",17 people voted
Marge Piercy,Woman on the Edge of Time,89,"3.95 avg rating — 12,600 ratings","score: 1,276",15 people voted
Maureen F. McHugh,China Mountain Zhang,91,"3.94 avg rating — 3,453 ratings","score: 1,253",18 people voted
S.L. Viehl,"Stardoc (Stardoc, #1)",92,"3.80 avg rating — 3,632 ratings","score: 1,230",16 people voted
Margaret Atwood,"MaddAddam (MaddAddam, #3)",93,"really liked it 4.00 avg rating — 52,206 ratings","score: 1,212",13 people voted
Tanya Huff,"Valor's Choice (Confederation, #1)",94,"3.98 avg rating — 6,900 ratings","score: 1,165",16 people voted
Connie Willis,Bellwether,95,"3.93 avg rating — 10,069 ratings","score: 1,142",13 people voted
C.S. Friedman,This Alien Shore,96,"4.04 avg rating — 3,262 ratings","score: 1,130",15 people voted
Catherine Asaro,"Primary Inversion (Saga of the Skolian Empire, #1)",97,"3.74 avg rating — 3,686 ratings","score: 1,119",15 people voted
Marissa Meyer,"Scarlet (The Lunar Chronicles, #2)",98,"4.29 avg rating — 265,354 ratings","score: 1,115",12 people voted
Nancy Kress,"Probability Moon (Probability, #1)",99,"3.61 avg rating — 1,292 ratings","score: 1,107",15 people voted
Nancy Farmer,"The House of the Scorpion (Matteo Alacran, #1)",100,"4.10 avg rating — 72,379 ratings","score: 1,083",12 people voted
